year,location,blood_samples_collected,malaria_cases,falciparum_plasmodium_cases,deaths
2013,Andaman & Nicobar Islands,77943,1005,334,0
2013,Andhra Pradesh,9033712,19787,13385,0
2013,Arunachal Pradesh,112455,6398,2181,21
2013,Assam,3895330,19542,14969,7
2013,Bihar,196872,2693,715,1
2013,Chandigarh,43901,150,2,0
2013,Chhatisgarh,3776658,110145,89418,43
2013,Dadar & Nagar Haveli,63540,1778,513,0
2013,Daman & Diu,35423,91,5,0
2013,Delhi,324760,353,8,0
2013,Goa,3895330,19542,14969,7
2013,Gujrat,12687686,58513,9122,38
2013,Haryana,2640224,14471,247,3
2013,Himachal Pradesh,14471,141,0,0
2013,Jammu & Kashmir,483091,698,24,0
2013,Jharkhand,3562174,97786,38263,8
2013,Karnataka,8907752,13302,967,0
2013,Kerala,2607143,1634,243,0
2013,Lakshwadeep,178,8,0,0
2013,Madhya Pradesh,9757285,78260,28775,49
2013,Maharashtra,16739447,43677,9198,80
2013,Manipur,92762,120,42,0
2013,Meghalaya,360044,24727,22885,62
2013,Mizoram,229818,11747,10340,21
2013,Nagaland,224571,2285,519,1
2013,Orisha,5078132,228858,208488,67
2013,Puducherry,230814,127,2,0
2013,Punjab,2971013,1760,31,0
2013,Rajasthan,8909848,33139,1086,15
2013,Sikkim,11136,39,13,0
2013,Tamil Nadu,8618514,1508,539,0
2013,Tripura,257760,7396,6998,7
2013,Uttar Pradesh,4278776,48346,590,0
2013,Uttarakhand,322057,1426,108,0
2013,West Bengal,5679133,34717,3705,17
2014,Andaman & Nicobar Islands,74905,557,109,0
2014,Andhra Pradesh,9853526,21077,15511,0
2014,Arunachal Pradesh,123571,6082,2338,9
2014,Assam,3684068,14540,11210,11
2014,Bihar,183918,2043,699,0
2014,Chandigarh,45019,114,0,0
2014,Chhatisgarh,3942498,128993,108874,53
2014,Dadar & Nagar Haveli,71755,669,90,1
2014,Daman & Diu,34288,56,4,0
2014,Delhi,179819,98,0,0
2014,Goa,431754,824,42,0
2014,Gujrat,13440364,41608,6253,16
2014,Haryana,2524246,4485,45,1
2014,Himachal Pradesh,492263,102,1,0
2014,Jammu & Kashmir,452223,291,21,0
2014,Jharkhand,3394634,103735,46448,8
2014,Karnataka,9805708,14794,1329,2
2014,Kerala,2675482,1751,305,6
2014,Lakshwadeep,132,0,0,0
2014,Madhya Pradesh,10285880,96879,41638,26
2014,Maharashtra,17606275,53385,25770,68
2014,Manipur,66236,145,72,0
2014,Meghalaya,437741,39168,37149,73
2014,Mizoram,330882,23145,21083,31
2014,Nagaland,234653,1936,647,2
2014,Orisha,6352249,395035,342280,89
2014,Puducherry,180922,79,3,0
2014,Punjab,3092693,1036,14,0
2014,Rajasthan,8810139,15118,603,4
2014,Sikkim,7970,35,18,0
2014,Tamil Nadu,9002019,8729,339,0
2014,Telangana,3600200,5189,4602,0
2014,Tripura,606791,51240,49653,96
2014,Uttar Pradesh,4834946,41612,326,0
2014,Uttarakhand,388028,1171,89,0
2014,West Bengal,6818534,26484,4981,66
2015,Andaman & Nicobar Islands,56012,409,77,0
2015,Andhra Pradesh,6817446,25042,18709,0
2015,Arunachal Pradesh,146229,5088,1714,7
2015,Assam,3684068,14540,11210,11
2015,Bihar,3485405,15557,11675,4
2015,Chandigarh,68862,152,1,1
2015,Chhatisgarh,217632,4006,1286,1
2015,Dadar & Nagar Haveli,58969,418,46,0
2015,Daman & Diu,34190,84,18,0
2015,Delhi,186659,54,0,0
2015,Goa,3886092,144886,123839,21
2015,Gujrat,13725825,41566,7232,7
2015,Haryana,2720396,9308,726,3
2015,Himachal Pradesh,470357,61,1,0
2015,Jammu & Kashmir,460705,216,8,0
2015,Jharkhand,2102135,104800,54993,6
2015,Karnataka,9564478,12445,1598,0
2015,Kerala,2656072,1549,400,4
2015,Lakshwadeep,326,4,0,0
2015,Madhya Pradesh,9937602,100597,39125,24
2015,Maharashtra,18102384,56603,31139,59
2015,Manipur,80232,216,119,0
2015,Meghalaya,599144,48603,43828,79
2015,Mizoram,310526,28593,24602,21
2015,Nagaland,235651,1527,532,3
2015,Orisha,6608453,436850,369533,80
2015,Puducherry,158851,54,5,1
2015,Punjab,3033940,596,13,0
2015,Rajasthan,9062099,11792,662,3
2015,Sikkim,8826,27,11,0
2015,Tamil Nadu,8975782,5587,355,0
2015,Telangana,3469414,10951,10206,4
2015,Tripura,453298,32525,30074,21
2015,Uttar Pradesh,4952483,42767,371,0
2015,Uttarakhand,365396,1466,73,0
2015,West Bengal,7702614,24208,5775,34
2016,Andaman & Nicobar Islands,57452,485,140,0
2016,Andhra Pradesh,6720251,23613,17443,0
2016,Arunachal Pradesh,151590,3144,911,2
2016,Assam,3032997,7826,5686,6
2016,Bihar,186129,5205,895,0
2016,Chandigarh,106173,157,0,0
2016,Chhatisgarh,4830145,148220,121503,61
2016,Dadar & Nagar Haveli,62294,375,30,0
2016,Daman & Diu,35873,48,7,0
2016,Delhi,133312,31,0,0
2016,Goa,440341,742,130,0
2016,Gujrat,14785016,44783,6298,6
2016,Haryana,2895273,7866,552,0
2016,Himachal Pradesh,449911,121,19,0
2016,Jammu & Kashmir,499988,242,11,0
2016,Jharkhand,2959427,141414,83232,15
2016,Karnataka,9875331,11078,1746,0
2016,Kerala,2728755,1547,419,2
2016,Lakshwadeep,404,2,0,0
2016,Madhya Pradesh,9635854,69106,22304,3
2016,Maharashtra,17812209,23983,7815,26
2016,Manipur,94115,122,58,0
2016,Meghalaya,468254,35147,31867,45
2016,Mizoram,267747,7583,5907,9
2016,Nagaland,252232,828,316,0
2016,Orisha,7188885,449697,389332,77
2016,Puducherry,142059,76,11,0
2016,Punjab,2691331,693,8,0
2016,Rajasthan,9756048,12741,1031,5
2016,Sikkim,8099,15,5,0
2016,Tamil Nadu,8458647,4341,242,0
2016,Telangana,3460192,3512,2617,1
2016,Tripura,351392,10546,9545,14
2016,Uttar Pradesh,4816652,39238,158,0
2016,Uttarakhand,375835,967,47,0
2016,West Bengal,9215299,35236,5928,59
2017,Andaman & Nicobar Islands,55188,404,67,0
2017,Andhra Pradesh,6482654,16913,11944,0
2017,Arunachal Pradesh,152426,3144,911,2
2017,Assam,2719452,5743,4131,0
2017,Bihar,184955,3175,356,2
2017,Chandigarh,87972,114,1,0
2017,Chhatisgarh,5116606,141310,115153,0
2017,Dadar & Nagar Haveli,64184,297,16,0
2017,Daman & Diu,36239,37,4,0
2017,Delhi,98833,577,2,0
2017,Goa,5116606,653,75,2
2017,Gujrat,15591964,37801,3502,2
2017,Haryana,2599650,6887,904,0
2017,Himachal Pradesh,440095,95,9,0
2017,Jammu & Kashmir,480490,226,0,0
2017,Jharkhand,3339535,92770,42047,1
2017,Karnataka,10163735,6529,1118,0
2017,Kerala,2645332,1194,317,2
2017,Lakshwadeep,430,1,0,0
2017,Madhya Pradesh,9896156,46176,15554,3
2017,Maharashtra,16935392,18133,5929,19
2017,Manipur,115615,80,22,0
2017,Meghalaya,421145,16433,14974,11
2017,Mizoram,213175,5710,4978,0
2017,Nagaland,253753,394,188,1
2017,Orisha,6659013,352140,297554,25
2017,Puducherry,141894,59,13,0
2017,Punjab,2429949,808,12,0
2017,Rajasthan,6603580,6837,377,0
2017,Sikkim,11586,12,3,0
2017,Tamil Nadu,8451790,5449,197,0
2017,Telangana,3139093,2688,2170,0
2017,Tripura,375626,7040,6572,6
2017,Uttar Pradesh,4722321,32345,159,0
2017,Uttarakhand,359954,532,14,0
2017,West Bengal,9980887,30008,4632,29